# x_m,y_m,w_tr_right_m,w_tr_left_m
5.2500,1.3100,0.6671,0.6671
5.2000,1.3100,0.6576,0.6576
5.1500,1.3100,0.6519,0.6519
5.1000,1.3100,0.6500,0.6500
5.0500,1.3100,0.6500,0.6500
5.0000,1.3100,0.6500,0.6500
4.9500,1.3100,0.6500,0.6500
4.9000,1.3100,0.6500,0.6500
4.8500,1.3100,0.6519,0.6519
4.8000,1.3100,0.6576,0.6576
4.7500,1.3100,0.6671,0.6671
4.7000,1.3100,0.6801,0.6801
4.6500,1.3100,0.6964,0.6964
4.6000,1.3100,0.7071,0.7071
4.5500,1.3100,0.7018,0.7018
4.5000,1.3100,0.6964,0.6964
4.4500,1.3100,0.6801,0.6801
4.4000,1.3100,0.6671,0.6671
4.3500,1.2600,0.7071,0.7071
4.3000,1.2600,0.7018,0.7018
4.2500,1.2100,0.7500,0.7500
4.2000,1.2100,0.7500,0.7500
4.1500,1.2100,0.7500,0.7500
4.1000,1.1600,0.7616,0.7616
4.0500,1.1600,0.7826,0.7826
4.0000,1.1100,0.7616,0.7616
3.9500,1.1100,0.7826,0.7826
3.9000,1.1100,0.7762,0.7762
3.8500,1.0600,0.7826,0.7826
3.8000,1.0600,0.7826,0.7826
3.7500,1.0100,0.7906,0.7906
3.7000,1.0100,0.7906,0.7906
3.6500,1.0100,0.7762,0.7762
3.6000,0.9600,0.8062,0.8062
3.5500,0.9100,0.8276,0.8276
3.5000,0.9100,0.8078,0.8078
3.4500,0.9100,0.7906,0.7906
3.4000,0.8600,0.8246,0.8246
3.3500,0.8100,0.8631,0.8631
3.3000,0.8100,0.8544,0.8544
3.2500,0.8100,0.8382,0.8382
3.2000,0.7600,0.8732,0.8732
3.1500,0.7600,0.8631,0.8631
3.1000,0.7100,0.9014,0.9014
3.0500,0.6600,0.9341,0.9341
3.0000,0.6600,0.9220,0.9220
2.9500,0.6100,0.9618,0.9618
2.9000,0.5600,1.0050,1.0050
2.8500,0.5100,1.0512,1.0512
2.8000,0.5100,1.0500,1.0500
2.7500,0.4600,1.1000,1.1000
2.7000,0.4100,1.1402,1.1402
2.6500,0.4100,1.1281,1.1281
2.6000,0.4100,1.1180,1.1180
2.5500,0.3600,1.1543,1.1543
2.5000,0.3100,1.1885,1.1885
2.4500,0.2600,1.2176,1.2176
2.4000,0.2600,1.2021,1.2021
2.3500,0.2100,1.2349,1.2349
2.3000,0.2100,1.2176,1.2176
2.2500,0.2100,1.2021,1.2021
2.2000,0.1600,1.2349,1.2349
2.1500,0.1600,1.2258,1.2258
2.1000,0.1600,1.2166,1.2166
2.0500,0.1100,1.2258,1.2258
2.0000,0.1100,1.2349,1.2349
1.9500,0.1100,1.2176,1.2176
1.9000,0.1100,1.2021,1.2021
1.8500,0.0600,1.2349,1.2349
1.8000,0.0600,1.2258,1.2258
1.7500,0.0600,1.2166,1.2166
1.7000,0.0600,1.2021,1.2021
1.6500,0.0100,1.2369,1.2369
1.6000,0.0100,1.2258,1.2258
1.5500,0.0100,1.2166,1.2166
1.5000,-0.0400,1.2500,1.2500
1.4500,-0.0400,1.2369,1.2369
1.4000,-0.0400,1.2258,1.2258
1.3500,-0.0400,1.2166,1.2166
1.3000,-0.0900,1.2590,1.2590
1.2500,-0.0900,1.2500,1.2500
1.2000,-0.0900,1.2369,1.2369
1.1500,-0.1400,1.2649,1.2649
1.1000,-0.1400,1.2659,1.2659
1.0500,-0.1400,1.2590,1.2590
1.0000,-0.1900,1.2649,1.2649
0.9500,-0.1900,1.2816,1.2816
0.9000,-0.1900,1.2649,1.2649
0.8500,-0.1900,1.2500,1.2500
0.8000,-0.1900,1.2349,1.2349
0.7500,-0.1900,1.2176,1.2176
0.7000,-0.1900,1.2021,1.2021
0.6500,-0.2400,1.2369,1.2369
0.6000,-0.2400,1.2258,1.2258
0.5500,-0.2400,1.2166,1.2166
0.5000,-0.2400,1.2021,1.2021
0.4500,-0.2400,1.1885,1.1885
0.4000,-0.2400,1.1769,1.1769
0.3500,-0.2400,1.1673,1.1673
0.3000,-0.2900,1.2093,1.2093
0.2500,-0.2900,1.2042,1.2042
0.2000,-0.2900,1.2010,1.2010
0.1500,-0.2900,1.2000,1.2000
0.1000,-0.2900,1.2000,1.2000
0.0500,-0.2900,1.2000,1.2000
0.0000,-0.3400,1.2510,1.2510
-0.0500,-0.3400,1.2540,1.2540
-0.1000,-0.3400,1.2590,1.2590
-0.1500,-0.3400,1.2659,1.2659
-0.2000,-0.3400,1.2748,1.2748
-0.2500,-0.3400,1.2855,1.2855
-0.3000,-0.3400,1.2981,1.2981
-0.3500,-0.3400,1.3086,1.3086
-0.4000,-0.3400,1.3153,1.3153
-0.4500,-0.2900,1.2748,1.2748
-0.5000,-0.2900,1.2855,1.2855
-0.5500,-0.2400,1.2500,1.2500
-0.6000,-0.2400,1.2649,1.2649
-0.6500,-0.1900,1.2349,1.2349
-0.7000,-0.1900,1.2540,1.2540
-0.7500,-0.1400,1.2298,1.2298
-0.8000,-0.1400,1.2166,1.2166
-0.8500,-0.0900,1.1769,1.1769
-0.9000,-0.0400,1.1402,1.1402
-0.9500,0.0100,1.1068,1.1068
-1.0000,0.0600,1.0689,1.0689
-1.0500,0.1100,1.0308,1.0308
-1.1000,0.1600,0.9962,0.9962
-1.1000,0.2100,1.0112,1.0112
-1.1500,0.2600,0.9708,0.9708
-1.2000,0.3100,0.9341,0.9341
-1.2000,0.3600,0.9487,0.9487
-1.2500,0.4100,0.9192,0.9192
-1.2500,0.4600,0.9341,0.9341
-1.3000,0.5100,0.9014,0.9014
-1.3500,0.5600,0.8631,0.8631
-1.3500,0.6100,0.8732,0.8732
-1.3500,0.6600,0.8860,0.8860
-1.4000,0.7100,0.8544,0.8544
-1.4000,0.7600,0.8732,0.8732
-1.4500,0.8100,0.8382,0.8382
-1.5000,0.8600,0.8078,0.8078
-1.5000,0.9100,0.8246,0.8246
-1.5000,0.9600,0.8382,0.8382
-1.5000,1.0100,0.8544,0.8544
-1.5500,1.0600,0.8246,0.8246
-1.5500,1.1100,0.8382,0.8382
-1.6000,1.1600,0.8078,0.8078
-1.6000,1.2100,0.8246,0.8246
-1.6500,1.2600,0.7906,0.7906
-1.6500,1.3100,0.8078,0.8078
-1.7000,1.3600,0.7762,0.7762
-1.7000,1.4100,0.7906,0.7906
-1.7500,1.4600,0.7616,0.7616
-1.7500,1.5100,0.7762,0.7762
-1.7500,1.5600,0.7906,0.7906
-1.8000,1.6100,0.7616,0.7616
-1.8000,1.6600,0.7762,0.7762
-1.8000,1.7100,0.7826,0.7826
-1.8500,1.7600,0.7566,0.7566
-1.8500,1.8100,0.7649,0.7649
-1.8500,1.8600,0.7616,0.7616
-1.8500,1.9100,0.7433,0.7433
-1.8500,1.9600,0.7280,0.7280
-1.8500,2.0100,0.7159,0.7159
-1.8500,2.0600,0.7071,0.7071
-1.9000,2.1100,0.7517,0.7517
-1.9000,2.1600,0.7500,0.7500
-1.9000,2.2100,0.7500,0.7500
